epoch,loss,Recall,Precision,F1
749,0.931,0.495,0.883,0.635
750,0.939,0.495,0.883,0.634
751,0.933,0.495,0.884,0.635
752,0.882,0.494,0.884,0.633
753,0.913,0.493,0.884,0.633
754,0.885,0.494,0.884,0.634
755,0.876,0.493,0.886,0.634
756,0.901,0.493,0.886,0.633
757,0.903,0.494,0.886,0.634
758,0.882,0.494,0.886,0.634
759,0.892,0.494,0.885,0.634
760,0.891,0.494,0.885,0.634
761,0.881,0.493,0.886,0.634
762,0.909,0.493,0.885,0.633
763,0.903,0.492,0.884,0.632
764,0.924,0.492,0.884,0.632
765,0.925,0.491,0.883,0.631
766,0.908,0.492,0.883,0.632
767,0.919,0.493,0.883,0.633
768,0.912,0.494,0.883,0.634
769,0.909,0.495,0.883,0.634
770,0.912,0.495,0.884,0.634
771,0.916,0.494,0.885,0.634
772,0.895,0.495,0.886,0.636
